artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
Trees of Eternity,9,36,31.33,393893.44,102.38,0.48,0.32,-8.63,0.03,0.27,0.04,0.12,0.13,0.22,5.78,3.67
Treha Sektori,10,32,22.60,245959.90,103.71,0.25,0.17,-21.79,0.05,0.84,0.53,0.16,0.09,0.70,6.90,3.70
TREi,10,30,14.90,290741.10,173.99,0.93,0.50,-4.36,0.11,0.60,0.00,0.30,0.24,0.50,5.20,4.00
Treman,7,58,35.86,114426.00,100.18,0.02,0.35,-29.65,0.04,0.93,0.99,0.10,0.19,0.71,4.29,3.86
Trembling Blue Stars,12,26,10.58,246947.75,116.06,0.50,0.57,-11.15,0.03,0.40,0.20,0.19,0.56,0.67,5.08,4.00
Tremonti,61,42,26.16,265448.95,124.97,0.93,0.36,-4.95,0.12,0.08,0.01,0.17,0.29,0.67,3.90,3.92
Tren Loco,67,30,11.75,274914.28,122.83,0.86,0.40,-4.89,0.07,0.02,0.02,0.19,0.37,0.51,4.73,3.96
TREN LOKOTE,4,61,58.75,203427.75,106.02,0.74,0.78,-7.16,0.24,0.00,0.13,0.16,0.70,0.25,7.75,4.00
Trent Dabbs,36,29,15.69,234593.78,119.44,0.46,0.55,-10.40,0.03,0.14,0.52,0.15,0.30,0.83,4.28,3.92
Trent Reznor,4,23,21.50,236893.25,120.99,0.46,0.59,-17.27,0.08,0.93,0.80,0.13,0.27,1.00,6.00,4.00
Trent Tomlinson,16,49,29.75,216071.50,133.43,0.75,0.53,-4.69,0.04,0.00,0.18,0.25,0.59,0.94,5.81,3.81
Trent Willmon,8,27,22.00,226796.63,131.00,0.73,0.57,-6.50,0.03,0.00,0.15,0.15,0.61,1.00,3.00,3.63
trentemøller,115,49,18.03,350102.48,124.26,0.60,0.62,-11.60,0.05,0.73,0.17,0.18,0.28,0.50,5.16,3.92
Trepalium,11,33,14.36,190309.64,115.82,0.94,0.36,-5.04,0.14,0.29,0.00,0.24,0.38,0.55,4.36,3.64
Trepaneringsritualen,7,14,9.14,218771.43,123.56,0.69,0.35,-11.15,0.10,0.67,0.37,0.23,0.16,0.86,2.71,3.29
Treponem Pal,8,12,6.88,219793.38,116.11,0.89,0.45,-6.28,0.04,0.52,0.01,0.27,0.46,1.00,4.88,4.00
Tres Demented,3,10,9.33,396323.33,125.00,0.76,0.70,-10.76,0.10,0.51,0.01,0.19,0.25,0.00,10.33,4.00
Tres Hermanas,7,43,34.71,155840.71,111.59,0.26,0.39,-10.50,0.03,0.04,0.92,0.14,0.27,1.00,5.00,4.00
Trespassed,5,54,41.20,193763.80,101.53,0.93,0.63,-1.43,0.06,0.18,0.01,0.33,0.14,0.60,4.40,4.00
Trespasser,10,26,15.40,302194.10,141.32,0.91,0.20,-7.09,0.11,0.86,0.00,0.21,0.09,0.90,4.40,3.60
Trevor Daniel,3,79,67.00,172609.67,138.01,0.48,0.72,-6.77,0.04,0.00,0.12,0.12,0.32,0.67,4.67,4.00
Trevor Gordon Hall,22,34,13.32,251931.45,111.19,0.19,0.43,-18.24,0.05,0.75,0.84,0.11,0.21,0.68,5.91,3.73
Trevor Hall,155,61,25.75,265805.19,119.84,0.52,0.53,-9.70,0.05,0.03,0.43,0.26,0.41,0.77,4.97,3.95
